,User Image url,Name,Post Content,Likes
0,https://media-exp1.licdn.com/dms/image/C4E35AQEBrcbbjl1hGg/profile-framedphoto-shrink_100_100/0/1616721426395?e=1620698400&v=beta&t=a4GRRmcNC0FwWtvkjnD95O5wdzeDe0qJgtJzOOv35FU,Steve Soleimani,"{""\nAlphabet's Q1 2021 earnings results are in:Cloud: $4.047 billion, up 45% YoY.Earnings: $26.29 per share ($15.82 expected).Revenue: $55.31 billion ($51.70 billion expected).#GoogleCloud #Google #Alphabet #Cloud\n""}",{'405'}
1,https://media-exp1.licdn.com/dms/image/C4D0BAQFx-X6bIpLEow/company-logo_100_100/0/1606833279550?e=1628726400&v=beta&t=umTo09us-INlerZykxQElxS6aZ2Wf8GqJo8OLb7lYn8,Berkeley I School Online ,{'\nExplore UC Berkeley’s online Master of Information and Data Science program. Programming experience required.\n'},{'12'}
2,https://media-exp1.licdn.com/dms/image/C4D03AQEl8qMFH1fpog/profile-displayphoto-shrink_100_100/0/1517284597002?e=1626307200&v=beta&t=jNh-6EaGCPh6JbZ81uZ-6-0sDgp0e-_jFMW5eBDXA_E,Richard Malle,"{'\nCommercial real estate #investment volumes in #Europe 🌍 plummeted by 40%  in Q1 2021 compared to Q1 2020, a buoyant quarter which hit an all-time high just before the outbreak.European investment reached €43bn (excluding residential investment) in Q1 2021, led this quarter by the #UK 🇬🇧 (€12bn/£10.5bn, -35%), #Germany 🇩🇪 (€10bn, -45%), and #France 🇫🇷 (€5 bn, -39%). A big thanks to Antoine Giraud and the #Research teams across Europe for collecting this data!\n'}",{'123'}
3,https://media-exp1.licdn.com/dms/image/C4E35AQEBrcbbjl1hGg/profile-framedphoto-shrink_100_100/0/1616721426395?e=1620698400&v=beta&t=a4GRRmcNC0FwWtvkjnD95O5wdzeDe0qJgtJzOOv35FU,Steve Soleimani,"{""\nAlphabet's Q1 2021 earnings results are in:Cloud: $4.047 billion, up 45% YoY.Earnings: $26.29 per share ($15.82 expected).Revenue: $55.31 billion ($51.70 billion expected).#GoogleCloud #Google #Alphabet #Cloud\n""}",
4,https://media-exp1.licdn.com/dms/image/C4D0BAQFx-X6bIpLEow/company-logo_100_100/0/1606833279550?e=1628726400&v=beta&t=umTo09us-INlerZykxQElxS6aZ2Wf8GqJo8OLb7lYn8,Berkeley I School Online ,{'\nExplore UC Berkeley’s online Master of Information and Data Science program. Programming experience required.\n'},
5,https://media-exp1.licdn.com/dms/image/C4D03AQEl8qMFH1fpog/profile-displayphoto-shrink_100_100/0/1517284597002?e=1626307200&v=beta&t=jNh-6EaGCPh6JbZ81uZ-6-0sDgp0e-_jFMW5eBDXA_E,Richard Malle,"{'\nCommercial real estate #investment volumes in #Europe 🌍 plummeted by 40%  in Q1 2021 compared to Q1 2020, a buoyant quarter which hit an all-time high just before the outbreak.European investment reached €43bn (excluding residential investment) in Q1 2021, led this quarter by the #UK 🇬🇧 (€12bn/£10.5bn, -35%), #Germany 🇩🇪 (€10bn, -45%), and #France 🇫🇷 (€5 bn, -39%). A big thanks to Antoine Giraud and the #Research teams across Europe for collecting this data!\n'}",
6,https://media-exp1.licdn.com/dms/image/C4E35AQEBrcbbjl1hGg/profile-framedphoto-shrink_100_100/0/1616721426395?e=1620698400&v=beta&t=a4GRRmcNC0FwWtvkjnD95O5wdzeDe0qJgtJzOOv35FU,Steve Soleimani,"{""\nAlphabet's Q1 2021 earnings results are in:Cloud: $4.047 billion, up 45% YoY.Earnings: $26.29 per share ($15.82 expected).Revenue: $55.31 billion ($51.70 billion expected).#GoogleCloud #Google #Alphabet #Cloud\n""}",
7,https://media-exp1.licdn.com/dms/image/C4D0BAQFx-X6bIpLEow/company-logo_100_100/0/1606833279550?e=1628726400&v=beta&t=umTo09us-INlerZykxQElxS6aZ2Wf8GqJo8OLb7lYn8,Berkeley I School Online ,{'\nExplore UC Berkeley’s online Master of Information and Data Science program. Programming experience required.\n'},
8,https://media-exp1.licdn.com/dms/image/C4D03AQEl8qMFH1fpog/profile-displayphoto-shrink_100_100/0/1517284597002?e=1626307200&v=beta&t=jNh-6EaGCPh6JbZ81uZ-6-0sDgp0e-_jFMW5eBDXA_E,Richard Malle,"{'\nCommercial real estate #investment volumes in #Europe 🌍 plummeted by 40%  in Q1 2021 compared to Q1 2020, a buoyant quarter which hit an all-time high just before the outbreak.European investment reached €43bn (excluding residential investment) in Q1 2021, led this quarter by the #UK 🇬🇧 (€12bn/£10.5bn, -35%), #Germany 🇩🇪 (€10bn, -45%), and #France 🇫🇷 (€5 bn, -39%). A big thanks to Antoine Giraud and the #Research teams across Europe for collecting this data!\n'}",
9,https://media-exp1.licdn.com/dms/image/C4E35AQEBrcbbjl1hGg/profile-framedphoto-shrink_100_100/0/1616721426395?e=1620698400&v=beta&t=a4GRRmcNC0FwWtvkjnD95O5wdzeDe0qJgtJzOOv35FU,Steve Soleimani,"{""\nAlphabet's Q1 2021 earnings results are in:Cloud: $4.047 billion, up 45% YoY.Earnings: $26.29 per share ($15.82 expected).Revenue: $55.31 billion ($51.70 billion expected).#GoogleCloud #Google #Alphabet #Cloud\n""}",
