application id,association,link
ig2553225875519684774,carnegiemellon,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/173834782_559491321700347_3793977877372390068_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=103&_nc_ohc=7zsrlB9vHz8AX_cqtp2&edm=ABfd0MgAAAAA&ccb=7-4&oh=53b78c7571f070261488b88af1237216&oe=609ED05A&_nc_sid=7bff83
ig2551064432757978357,carnegiemellon,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/172124638_165385775360700_3883074771324522625_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=100&_nc_ohc=it5TbeTNuLwAX89HgQI&edm=ABfd0MgAAAAA&ccb=7-4&oh=31e358ac65896dfd89b4b6cc9d0f4bc0&oe=609E0B38&_nc_sid=7bff83
ig2548806229458455394,carnegiemellon,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/170483072_1049293085598876_4843212816686739527_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=100&_nc_ohc=rvELeU-B30QAX_FbDsj&edm=ABfd0MgAAAAA&ccb=7-4&oh=28784a72786e83d0e9e980682456f806&oe=609DFEE7&_nc_sid=7bff83
ig2545236232903656173,carnegiemellon,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/168074265_447889149797877_3591715548766372585_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=109&_nc_ohc=O88xyCRpBJEAX_mh7n_&edm=ABfd0MgAAAAA&ccb=7-4&oh=7c75390318c9058ca8ffa0a3f53c4072&oe=609DB313&_nc_sid=7bff83
ig2543038379397491790,carnegiemellon,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/167511475_187879546479627_8380970588375259567_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=103&_nc_ohc=lJaaHct_ykMAX8TbSQv&edm=ABfd0MgAAAAA&ccb=7-4&oh=e28c4b2b7cd67ec932aa53947cf05423&oe=609F77AE&_nc_sid=7bff83
ig2540961825440121064,carnegiemellon,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/166562108_133164555422600_8662754051747470946_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=108&_nc_ohc=zVGAROGaBisAX9MqSDr&edm=ABfd0MgAAAAA&ccb=7-4&oh=1a1e31c9d1e9c3a890b4d9edffd444f6&oe=609EE380&_nc_sid=7bff83
ig2541621269062517643,iris_rover,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/167663355_253812039722970_9039718049980228056_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=106&_nc_ohc=QWmdb6g-E_oAX_Ak6JC&edm=ABfd0MgAAAAA&ccb=7-4&oh=4f542171a40678827e2bfa2e875fb3b3&oe=609E5FBF&_nc_sid=7bff83
ig2520117392153490490,iris_rover,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/155006998_342844287029230_4208300088186001486_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=110&_nc_ohc=CgSB0pfxgJwAX_slxrc&edm=ABfd0MgAAAAA&ccb=7-4&oh=e3f391a45d858ccac04a5cad4a738409&oe=609FE371&_nc_sid=7bff83
ig2517869975102282916,iris_rover,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/154332733_765632430735343_7088603958810514752_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=107&_nc_ohc=NpCFZHeX4FsAX-RqRp8&edm=ABfd0MgAAAAA&ccb=7-4&oh=81c09348f06e3631d8b0a092baa35ebf&oe=609F862F&_nc_sid=7bff83
ig2516422917321286066,iris_rover,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/152854232_349765839567809_3584379255210745407_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=105&_nc_ohc=hoG3eX9mS_oAX9kzxIQ&edm=ABfd0MgAAAAA&ccb=7-4&oh=0450181ca328e1747bfbf4d53323ec3e&oe=609F7CC5&_nc_sid=7bff83
ig2515001032335924043,iris_rover,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/152466811_168178421778603_6253317624786703663_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=103&_nc_ohc=sEXkAaOckvYAX9yNHnD&edm=ABfd0MgAAAAA&ccb=7-4&oh=7ca68715a40573fce7b9d5f6c3bb5c91&oe=60A0B0DA&_nc_sid=7bff83
